"Question","Answers","AnswerFields","AnswersNeeded"
"What is the supreme law of the land?","the Constitution",1,1
"What does the Constitution do?","sets up the government/defines the government/protects basic rights of Americans",2,2
"The idea of self-government is in the first three words of the Constitution. What are these words?","We the People",1,1
"What is an amendment?","a change to the Constitution/an addition to the Constitution",1,1
"What do we call the first ten amendments to the Constitution?","the Bill of Rights",1,1
"What is one right or freedom from the First Amendment?","speech/religion/assembly/press/petition the government",1,1
"How many amendments does the Constitution have?","twenty-seven/27 ",1,1
"What are two rights in the Declaration of Independence?","life/liberty/pursuit of happiness",1,2
"What is freedom of religion?","You can practice any religion or not practice a religion.",1,1
"What is the economic system in the United States?","capitalist economy/market economy",1,1
"What is the 'rule of law'?","Everyone must follow the law/Leaders must obey the law/Government must obey the law/No one is above the law",1,1
"Name one branch or part of the government.","Congress/legislative/President/executive/the courts/judicial",1,1
"What stops one branch of government from becoming too powerful?","checks and balances/separation of powers",1,1
"Who is in charge of the executive branch?","the President",1,1
"Who makes federal laws?","Congress/Senate and House of Representatives/National legislature",1,1
"What are the two parts of the U.S. Congress?","the Senate/House of Representatives",1,1
"How many U.S. Senators are there?","one hundred/100",1,1
"We elect a U.S. Senator for how many years?","six/6",1,1
"The House of Representatives has how many voting members?","four hundred thirty-five/435",1,1
"We elect a U.S. Representative for how many years?","two/2",1,1
"Who does a U.S. Senator represent?","all people of the state",1,1
"We elect a President for how many years?","four/4",1,1
"In what month do we vote for President?","November/11",1,1
"If the President can no longer serve who becomes President?","the Vice President",1,1
"If both the President and the Vice President can no longer serve who becomes President?","the Speaker of the House",1,1
"Who is the Commander in Chief of the military?","the President",1,1
"Who signs bills to become laws?","the President",1,1
"Who vetoes bills?","the President",1,1
"What does the President's Cabinet do?","advises the President",1,1
